number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
81,0.3368033766746521,2025-11-16 00:42:22.228789,2025-11-16 00:42:41.811735,0 days 00:00:19.582946,64,True,0.47422903986741904,256,0.0005190346906841523,2,0.0006965488130504631,COMPLETE
82,0.3427775502204895,2025-11-16 00:42:41.811735,2025-11-16 00:43:01.361047,0 days 00:00:19.549312,64,True,0.46549379507809213,256,0.0005026684063016351,2,0.0008582573486542684,COMPLETE
83,0.28247860074043274,2025-11-16 00:43:01.361423,2025-11-16 00:43:21.061306,0 days 00:00:19.699883,64,True,0.4539490336748805,256,0.0005479660944088749,2,0.0005596085389967053,COMPLETE
84,0.34200435876846313,2025-11-16 00:43:21.061306,2025-11-16 00:43:40.779951,0 days 00:00:19.718645,64,True,0.4865599826757729,256,0.0005511493885508331,2,0.0005699753528106673,COMPLETE
85,0.3401418626308441,2025-11-16 00:43:40.779951,2025-11-16 00:44:00.544324,0 days 00:00:19.764373,64,True,0.44571146971176434,256,0.0005764295393732654,2,0.00048092432157554953,COMPLETE
86,0.6607517600059509,2025-11-16 00:44:00.544324,2025-11-16 00:44:02.862910,0 days 00:00:02.318586,64,False,0.4622071358615002,256,0.0005380256981380652,2,0.00033878214097283885,PRUNED
87,0.37750372290611267,2025-11-16 00:44:02.862910,2025-11-16 00:44:22.635423,0 days 00:00:19.772513,64,True,0.4521389384062752,256,0.0006091280554808988,2,0.0004715389121958178,COMPLETE
88,0.30173197388648987,2025-11-16 00:44:22.635423,2025-11-16 00:44:42.362615,0 days 00:00:19.727192,64,True,0.39825891729051754,256,0.0005750828779306712,2,0.0005474724435717746,COMPLETE
89,0.4881305396556854,2025-11-16 00:44:42.362615,2025-11-16 00:44:49.068232,0 days 00:00:06.705617,64,True,0.38807042326870794,96,0.0005617167554051517,2,0.0005485658546477368,COMPLETE
90,0.5517617762088776,2025-11-16 00:44:49.068232,2025-11-16 00:44:56.590961,0 days 00:00:07.522729,16,True,0.3642522684798423,192,0.0005778441826536187,2,0.0007529103696935976,PRUNED
91,0.34224164485931396,2025-11-16 00:44:56.590961,2025-11-16 00:45:16.357616,0 days 00:00:19.766655,64,True,0.4176526598938006,256,0.0006239585337835752,2,0.0005815581324728968,COMPLETE
92,0.32984215021133423,2025-11-16 00:45:16.357616,2025-11-16 00:45:36.062126,0 days 00:00:19.704510,64,True,0.4029428555058226,256,0.0005309093768838,2,0.0004622103475718802,COMPLETE
93,0.2374093383550644,2025-11-16 00:45:36.062126,2025-11-16 00:45:55.693544,0 days 00:00:19.631418,64,True,0.4285234391148839,256,0.000691743258623808,2,0.00039072814588819195,COMPLETE
94,0.3161294460296631,2025-11-16 00:45:55.693544,2025-11-16 00:46:15.423588,0 days 00:00:19.730044,64,True,0.42405702122206973,256,0.0006597086308505835,2,0.000852432201760207,COMPLETE
95,0.25559356808662415,2025-11-16 00:46:15.423588,2025-11-16 00:46:34.989958,0 days 00:00:19.566370,64,True,0.440496914832323,256,0.0006005568149915127,2,0.0006987440433827849,COMPLETE
96,0.38388609886169434,2025-11-16 00:46:34.989958,2025-11-16 00:47:03.361077,0 days 00:00:28.371119,32,True,0.4437202639553582,256,0.0005963807521091363,2,0.0007243998424770618,COMPLETE
97,0.5420793890953064,2025-11-16 00:47:03.363080,2025-11-16 00:47:04.581425,0 days 00:00:01.218345,64,True,0.43226069207729684,64,0.0005005753838791085,2,0.0006196868609289788,PRUNED
98,0.3490983247756958,2025-11-16 00:47:04.581425,2025-11-16 00:47:24.214434,0 days 00:00:19.633009,64,True,0.4831876243632371,256,0.0006354940537387935,2,1.2905465015065544e-05,COMPLETE
99,0.6110285520553589,2025-11-16 00:47:24.214434,2025-11-16 00:47:26.599829,0 days 00:00:02.385395,64,False,0.45454711405670545,256,0.0006866806334215597,2,0.0009465450260693993,PRUNED
